"SL No","Question Name","Rating","Tag","URL","Solved"
"333","Number of Ways of Cutting a Pizza","3","Hard","https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza/","No"
"334","Minimum Time to Collect All Apples in a Tree","2","Medium","https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree/","No"
"335","Count Triplets That Can Form Two Arrays of Equal XOR","2","Medium","https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor/","No"
"336","Build an Array With Stack Operations","1","Easy","https://leetcode.com/problems/build-an-array-with-stack-operations/","No"
"337","Find the Kth Smallest Sum of a Matrix With Sorted Rows","3","Hard","https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows/","No"
"338","Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit","2","Medium","https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/","No"
"339","Check If All 1's Are at Least Length K Places Away","1","Easy","https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/","No"
"340","Destination City","1","Easy","https://leetcode.com/problems/destination-city/","No"
"341","Form Largest Integer With Digits That Add up to Target","3","Hard","https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target/","No"
"342","Count Good Nodes in Binary Tree","2","Medium","https://leetcode.com/problems/count-good-nodes-in-binary-tree/","No"
"343","Simplified Fractions","2","Medium","https://leetcode.com/problems/simplified-fractions/","No"
"344","Consecutive Characters","1","Easy","https://leetcode.com/problems/consecutive-characters/","No"
"345","Diagonal Traverse II","2","Medium","https://leetcode.com/problems/diagonal-traverse-ii/","No"
"346","Maximum Points You Can Obtain from Cards","2","Medium","https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/","No"
"347","Maximum Score After Splitting a String","1","Easy","https://leetcode.com/problems/maximum-score-after-splitting-a-string/","No"
"348","Build Array Where You Can Find The Maximum Exactly K Comparisons","3","Hard","https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons/","No"
"349","Minimum Number of Frogs Croaking","2","Medium","https://leetcode.com/problems/minimum-number-of-frogs-croaking/","No"
"350","Display Table of Food Orders in a Restaurant","2","Medium","https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant/","No"
"351","Reformat The String","1","Easy","https://leetcode.com/problems/reformat-the-string/","No"
"352","Number of Ways to Wear Different Hats to Each Other","3","Hard","https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other/","No"
"353","Check If a String Can Break Another String","2","Medium","https://leetcode.com/problems/check-if-a-string-can-break-another-string/","No"
"354","Max Difference You Can Get From Changing an Integer","2","Medium","https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer/","No"
"355","Kids With the Greatest Number of Candies","1","Easy","https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/","Yes"
"356","Number of Ways to Paint N × 3 Grid","3","Hard","https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid/","No"
"357","HTML Entity Parser","2","Medium","https://leetcode.com/problems/html-entity-parser/","No"
"358","Queries on a Permutation With Key","2","Medium","https://leetcode.com/problems/queries-on-a-permutation-with-key/","No"
"359","String Matching in an Array","1","Easy","https://leetcode.com/problems/string-matching-in-an-array/","No"
"360","Stone Game III","3","Hard","https://leetcode.com/problems/stone-game-iii/","No"
"361","Number of Steps to Reduce a Number in Binary Representation to One","2","Medium","https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one/","No"
"362","Minimum Subsequence in Non-Increasing Order","1","Easy","https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order/","No"
"363","Restore The Array","3","Hard","https://leetcode.com/problems/restore-the-array/","No"
"364","The k-th Lexicographical String of All Happy Strings of Length n","2","Medium","https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/","No"
"365","Find the Minimum Number of Fibonacci Numbers Whose Sum Is K","2","Medium","https://leetcode.com/problems/find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k/","No"
"366","Minimum Value to Get Positive Step by Step Sum","1","Easy","https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum/","No"
"367","Find All Good Strings","3","Hard","https://leetcode.com/problems/find-all-good-strings/","No"
"368","Design Underground System","2","Medium","https://leetcode.com/problems/design-underground-system/","No"
"369","Count Number of Teams","2","Medium","https://leetcode.com/problems/count-number-of-teams/","No"
"370","Find Lucky Integer in an Array","1","Easy","https://leetcode.com/problems/find-lucky-integer-in-an-array/","No"
"371","Longest Happy Prefix","3","Hard","https://leetcode.com/problems/longest-happy-prefix/","No"
"372","Check if There is a Valid Path in a Grid","2","Medium","https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid/","No"
"373","Create Target Array in the Given Order","1","Easy","https://leetcode.com/problems/create-target-array-in-the-given-order/","No"
"374","Reducing Dishes","3","Hard","https://leetcode.com/problems/reducing-dishes/","No"
"375","Construct K Palindrome Strings","2","Medium","https://leetcode.com/problems/construct-k-palindrome-strings/","No"
"376","Circle and Rectangle Overlapping","2","Medium","https://leetcode.com/problems/circle-and-rectangle-overlapping/","No"
"377","Count Largest Group","1","Easy","https://leetcode.com/problems/count-largest-group/","No"
"378","Maximum Performance of a Team","3","Hard","https://leetcode.com/problems/maximum-performance-of-a-team/","No"
"379","Find a Corresponding Node of a Binary Tree in a Clone of That Tree","2","Medium","https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree/","No"
"380","Design a Stack With Increment Operation","2","Medium","https://leetcode.com/problems/design-a-stack-with-increment-operation/","No"
"381","Lucky Numbers in a Matrix","1","Easy","https://leetcode.com/problems/lucky-numbers-in-a-matrix/","No"
